,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,IBM,IBM,IBM,IBM,IBM,IBM,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,239.82000732421875,248.163330078125,239.06333923339844,243.2566680908203,243.2566680908203,145914600,222.52999877929688,223.0,214.80999755859375,217.69000244140625,213.34202575683594,37130100,120.31549072265625,120.38240814208984,117.62906646728516,118.48948669433594,106.17865753173828,5417443,133.52000427246094,133.61000061035156,126.76000213623047,129.41000366210938,127.68000793457031,143301900
2021-01-05,241.22000122070312,246.94667053222656,239.73333740234375,245.0366668701172,245.0366668701172,96735600,217.25999450683594,218.52000427246094,215.6999969482422,217.89999389648438,213.54782104492188,23823000,119.5124282836914,121.1089859008789,119.13002014160156,120.59273529052734,108.06340026855469,6395872,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,129.25860595703125,97664900
2021-01-06,252.8300018310547,258.0,249.6999969482422,251.9933319091797,251.9933319091797,134100000,212.1699981689453,216.49000549316406,211.94000244140625,212.25,208.0106658935547,35930700,121.3193130493164,126.08030700683594,121.14722442626953,123.60420989990234,110.7619857788086,8322708,127.72000122070312,131.0500030517578,126.37999725341797,126.5999984741211,124.90756225585938,155088000
2021-01-07,259.2099914550781,272.3299865722656,258.3999938964844,272.0133361816406,272.0133361816406,154496700,214.0399932861328,219.33999633789062,213.7100067138672,218.2899932861328,213.93002319335938,27694500,124.32122039794922,124.7227554321289,122.61949920654297,123.31739807128906,110.50497436523438,4714740,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,129.1697998046875,109578200
2021-01-08,285.3333435058594,294.8299865722656,279.46331787109375,293.3399963378906,293.3399963378906,225166500,218.67999267578125,220.5800018310547,217.02999877929688,219.6199951171875,215.23345947265625,22956200,122.9158706665039,123.63288879394531,121.39579010009766,122.87763214111328,110.11090850830078,4891305,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,130.28472900390625,105158200
2021-01-11,283.1333312988281,284.80999755859375,267.8733215332031,270.39666748046875,270.39666748046875,177904800,218.47000122070312,218.91000366210938,216.72999572753906,217.49000549316406,213.14602661132812,23031300,122.32313537597656,123.97705841064453,122.04589080810547,122.92543029785156,110.15373229980469,5859587,129.19000244140625,130.1699981689453,128.5,128.97999572753906,127.25574493408203,100384500
2021-01-12,277.0,289.3333435058594,275.7799987792969,283.14666748046875,283.14666748046875,138812100,216.5,217.10000610351562,213.32000732421875,214.92999267578125,210.63714599609375,23249300,123.41300201416016,124.13957977294922,122.3135757446289,123.52772521972656,110.69345092773438,3921663,128.5,129.69000244140625,126.86000061035156,128.8000030517578,127.07815551757812,91951100
2021-01-13,284.2533264160156,286.8233337402344,277.3333435058594,284.8033447265625,284.8033447265625,99937500,214.02000427246094,216.75999450683594,213.92999267578125,216.33999633789062,212.01895141601562,20087100,123.4703598022461,124.04397583007812,120.8986587524414,121.33843231201172,108.73161315917969,8030874,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,129.1402130126953,88636800
